Año,Semestre,Código,Nombre,Créditos,Requisito,Rec_cod,Bibliografía
3,V,MFG-114,Introducción a la Fe,5 SCT,,,"No se dispone de bibliografía."
3,VI,IMA-321,Topología,6 SCT,Requisito,IMA-311,"Munkres, J. (2018) Topology, New York: Pearson.; Willard, S. (2016) General Topology. New York: Courier Dover Publications.; Kelley, J. (2017) General Topology. New York: Courier Dover Publications."
3,VI,IMA-322,Estadística Inferencial,7 SCT,Requisito,IMA-314,"Montgomery D., Runger G. (2006) Probabilidad y estadística aplicadas a la ingenieria, México D.F: McGraw-Hill.; Wackerly D.D., Mendenhall W., Scheaffer R. (2010) Estadística matemática con aplicaciones séptima edición, México: Cengage Learning.; Murray, S., Schiller J., Srinivasan R. (2014) Probabilidad y estadística, cuarta edición, México: McGraw-Hill."
3,VI,IMA-323,Gestión Estratégica,7 SCT,Requisito,IMA-314,"Dixit, A. K., Varela, A., and Valls, A. (2011) Pensar estratégicamente: Un arma decisiva en los negocios, la política y la vida diaria, Barcelona: Antoni Bosch editor.; R. Gibbons. (2011) Un primer curso de teoría de juegos, Barcelona: Antoni Bosch editor.; Dutta, P. K. (2001) Strategies and games: Theory and practice, Cambridge, Mass: MIT Press."
3,VI,IMA-324,Modelos Matemáticos Computacionales,6 SCT,Requisito,IMA-315,"Klee, H. (2019). Simulation of Dynamic Systems with Matlab and Simulink. London: Chapman and Hall/CRC.; Velten, K. (2009) Mathematical Modelling and simulation. Primera edición. Wienheim: WILEY-VCH.; Mityushev V., Rylko N., Nawalaniec W., (2021) Introduction to mathematical modeling and computer simulations, Boca Raton: Chapman & Hall/CRC."
3,VI,MFG-216,Ética Cristiana,5 SCT,Sin Requisito,,"No se dispone de bibliografía."
4,VII,IMA-411,Análisis Funcional,6 SCT,Requisito,IMA-321,"Brezis, H. (2010) Functional Analysis, Sobolev Spaces and Partial Differential Equations, New York: Springer.; Conway, J. B. (2010) A course in Functional Analysis, New York: Springer.; Lax, P. (2002) Functional Analysis, New Jersey: Wiley interscience."
4,VII,IMA-412,Teoría de la Medida,6 SCT,Sin requisito,,"Royden, H. L. Y Fitzpatrick, P. (2018) Real Analysis, Boston: Pearson Publisher.; Bartle, R. G., (2014) The elements of integration and Lebesgue measure, New York: John Wiley and Sons.; Fernandez, P. J. (2007) Medida e Integracao, Projeto Euclides, Río de Janerio: IMPA."
4,VII,IMA-413,Ciencia de Datos,5 SCT,Requisito,IMA-322,"Hernández, J., Ferri, C., Ramirez, M. J. (2010) Introducción a la Minería de Datos, Madrid: Pearson Prentice Hall.; Miller, J. (2017) Statitistics for Data Science. Packt Publishing.; Kelleher, J. D., and Tierney, B. (2018) Data science, Cambridge, Massachusetts, London, England: The MIT Press."
4,VII,IMA-414,Marketing e Inteligencia de Negocios,5 SCT,Sin requisito,,"Kotler, P., Keller, K. L., and Chernev, A. (2022) Marketing management. Hoboken, NJ: Pearson Education.; Best, R. J. (2013) Market-based management: Strategies for growing customer value and profitability, Boston: Pearson.; Gupta, S., and Lehmann, D. R. (March 07, 2004). Customers as assets. Journal of Interactive Marketing, 17, 1, 9-24."
